Date,incident_date,incident_subcategory,incident_id,Year
2019-01-10,2019-01-10,Shoplifting,10,2019
2019-01-11,2019-01-11,Bicycle,2,2019
2019-01-11,2019-01-11,From Building,7,2019
2019-01-11,2019-01-11,From Vehicle,104,2019
2019-01-11,2019-01-11,Other,28,2019
2019-01-11,2019-01-11,Pickpocket,2,2019
2019-01-11,2019-01-11,Shoplifting,10,2019
2019-01-12,2019-01-12,Auto Parts,1,2019
2019-01-12,2019-01-12,Bicycle,2,2019
2019-01-12,2019-01-12,From Building,8,2019
2019-01-12,2019-01-12,From Vehicle,70,2019
2019-01-12,2019-01-12,Other,38,2019
2019-01-12,2019-01-12,Shoplifting,7,2019
2019-01-13,2019-01-13,Bicycle,1,2019
2019-01-13,2019-01-13,From Building,4,2019
2019-01-13,2019-01-13,From Vehicle,74,2019
2019-01-13,2019-01-13,Other,37,2019
2019-01-13,2019-01-13,Shoplifting,6,2019
2019-01-14,2019-01-14,Auto Parts,1,2019
2019-01-14,2019-01-14,Bicycle,1,2019
2019-01-14,2019-01-14,From Building,7,2019
2019-01-14,2019-01-14,From Vehicle,86,2019
2019-01-14,2019-01-14,Other,27,2019
2019-01-14,2019-01-14,Shoplifting,10,2019
2019-01-15,2019-01-15,Bicycle,1,2019
2019-01-15,2019-01-15,From Building,5,2019
2019-01-15,2019-01-15,From Vehicle,90,2019
2019-01-15,2019-01-15,Other,17,2019
2019-01-15,2019-01-15,Pickpocket,1,2019
2019-01-15,2019-01-15,Shoplifting,10,2019
2019-01-16,2019-01-16,Auto Parts,1,2019
2019-01-16,2019-01-16,Bicycle,1,2019
2019-01-16,2019-01-16,From Building,6,2019
2019-01-16,2019-01-16,From Vehicle,91,2019
2019-01-16,2019-01-16,Other,24,2019
2019-01-16,2019-01-16,Pickpocket,1,2019
2019-01-16,2019-01-16,Shoplifting,7,2019
2019-01-17,2019-01-17,Bicycle,1,2019
2019-01-17,2019-01-17,From Building,6,2019
2019-01-17,2019-01-17,From Vehicle,58,2019
2019-01-17,2019-01-17,Other,35,2019
2019-01-17,2019-01-17,Pickpocket,2,2019
2019-01-17,2019-01-17,Shoplifting,7,2019
2019-01-18,2019-01-18,From Building,11,2019
2019-01-18,2019-01-18,From Vehicle,79,2019
2019-01-18,2019-01-18,Other,41,2019
2019-01-18,2019-01-18,Pickpocket,3,2019
2019-01-18,2019-01-18,Shoplifting,5,2019
2019-01-19,2019-01-19,Bicycle,1,2019
2019-01-19,2019-01-19,From Building,12,2019
2019-01-19,2019-01-19,From Vehicle,86,2019
2019-01-19,2019-01-19,Other,29,2019
2019-01-19,2019-01-19,Pickpocket,3,2019
2019-01-19,2019-01-19,Shoplifting,10,2019
2019-01-20,2019-01-20,Bicycle,2,2019
2019-01-20,2019-01-20,From Building,6,2019
2019-01-20,2019-01-20,From Vehicle,36,2019
2019-01-20,2019-01-20,Other,20,2019
2019-01-20,2019-01-20,Pickpocket,3,2019
2019-01-20,2019-01-20,Shoplifting,7,2019
2019-01-21,2019-01-21,Bicycle,1,2019
2019-01-21,2019-01-21,From Building,13,2019
2019-01-21,2019-01-21,From Vehicle,75,2019
2019-01-21,2019-01-21,Other,29,2019
2019-01-21,2019-01-21,Pickpocket,4,2019
2019-01-21,2019-01-21,Shoplifting,11,2019
2019-01-22,2019-01-22,Bicycle,1,2019
2019-01-22,2019-01-22,From Building,9,2019
2019-01-22,2019-01-22,From Vehicle,58,2019
2019-01-22,2019-01-22,Other,24,2019
2019-01-22,2019-01-22,Pickpocket,3,2019
2019-01-22,2019-01-22,Purse Snatch,1,2019
2019-01-22,2019-01-22,Shoplifting,12,2019
2019-01-23,2019-01-23,Bicycle,2,2019
2019-01-23,2019-01-23,From Building,11,2019
2019-01-23,2019-01-23,From Vehicle,63,2019
2019-01-23,2019-01-23,Other,31,2019
2019-01-23,2019-01-23,Pickpocket,5,2019
2019-01-23,2019-01-23,Shoplifting,6,2019
2019-01-24,2019-01-24,Bicycle,2,2019
2019-01-24,2019-01-24,From Building,7,2019
2019-01-24,2019-01-24,From Vehicle,58,2019
2019-01-24,2019-01-24,Other,21,2019
2019-01-24,2019-01-24,Pickpocket,3,2019
2019-01-24,2019-01-24,Shoplifting,6,2019
2019-01-25,2019-01-25,Auto Parts,1,2019
2019-01-25,2019-01-25,From Building,12,2019
2019-01-25,2019-01-25,From Vehicle,78,2019
2019-01-25,2019-01-25,Other,32,2019
2019-01-25,2019-01-25,Pickpocket,1,2019
2019-01-25,2019-01-25,Shoplifting,9,2019
2019-01-26,2019-01-26,Bicycle,1,2019
2019-01-26,2019-01-26,From Building,8,2019
2019-01-26,2019-01-26,From Vehicle,69,2019
2019-01-26,2019-01-26,Other,37,2019
2019-01-26,2019-01-26,Pickpocket,1,2019
2019-01-26,2019-01-26,Shoplifting,3,2019
2019-01-27,2019-01-27,From Building,7,2019
2019-01-27,2019-01-27,From Vehicle,73,2019
2019-01-27,2019-01-27,Other,32,2019
2019-01-27,2019-01-27,Pickpocket,1,2019
2019-01-27,2019-01-27,Purse Snatch,1,2019
2019-01-27,2019-01-27,Shoplifting,7,2019
2019-01-28,2019-01-28,From Building,8,2019
2019-01-28,2019-01-28,From Vehicle,55,2019
2019-01-28,2019-01-28,Other,24,2019
2019-01-28,2019-01-28,Pickpocket,1,2019
2019-01-28,2019-01-28,Shoplifting,10,2019
2019-01-29,2019-01-29,Bicycle,2,2019
2019-01-29,2019-01-29,From Building,6,2019
2019-01-29,2019-01-29,From Vehicle,77,2019
2019-01-29,2019-01-29,Other,33,2019
2019-01-29,2019-01-29,Shoplifting,6,2019
2019-01-30,2019-01-30,Bicycle,2,2019
2019-01-30,2019-01-30,From Building,7,2019
2019-01-30,2019-01-30,From Vehicle,60,2019
2019-01-30,2019-01-30,Other,28,2019
2019-01-30,2019-01-30,Pickpocket,1,2019
2019-01-30,2019-01-30,Shoplifting,6,2019
2019-01-31,2019-01-31,Bicycle,2,2019
2019-01-31,2019-01-31,From Building,6,2019
2019-01-31,2019-01-31,From Vehicle,79,2019
2019-01-31,2019-01-31,Other,32,2019
2019-01-31,2019-01-31,Pickpocket,2,2019
2019-01-31,2019-01-31,Shoplifting,6,2019
2019-02-01,2019-02-01,From Building,7,2019
2019-02-01,2019-02-01,From Vehicle,101,2019
2019-02-01,2019-02-01,Other,52,2019
2019-02-01,2019-02-01,Pickpocket,2,2019
2019-02-01,2019-02-01,Shoplifting,12,2019
2019-02-02,2019-02-02,From Building,10,2019
2019-02-02,2019-02-02,From Vehicle,75,2019
2019-02-02,2019-02-02,Other,46,2019
2019-02-02,2019-02-02,Pickpocket,1,2019
2019-02-02,2019-02-02,Purse Snatch,2,2019
2019-02-02,2019-02-02,Shoplifting,13,2019
2019-02-03,2019-02-03,From Building,6,2019
2019-02-03,2019-02-03,From Vehicle,52,2019
2019-02-03,2019-02-03,Other,26,2019
2019-02-03,2019-02-03,Pickpocket,3,2019
2019-02-03,2019-02-03,Shoplifting,6,2019
2019-02-04,2019-02-04,Auto Parts,1,2019
2019-02-04,2019-02-04,Bicycle,1,2019
2019-02-04,2019-02-04,From Building,7,2019
2019-02-04,2019-02-04,From Vehicle,78,2019
2019-02-04,2019-02-04,Other,24,2019
2019-02-04,2019-02-04,Pickpocket,2,2019
2019-02-04,2019-02-04,Shoplifting,10,2019
2019-02-05,2019-02-05,Auto Parts,1,2019
2019-02-05,2019-02-05,From Building,5,2019
2019-02-05,2019-02-05,From Vehicle,94,2019
2019-02-05,2019-02-05,Other,35,2019
2019-02-05,2019-02-05,Pickpocket,2,2019
2019-02-05,2019-02-05,Shoplifting,7,2019
2019-02-06,2019-02-06,From Building,7,2019
2019-02-06,2019-02-06,From Vehicle,70,2019
2019-02-06,2019-02-06,Other,27,2019
2019-02-06,2019-02-06,Pickpocket,1,2019
2019-02-06,2019-02-06,Shoplifting,4,2019
2019-02-07,2019-02-07,From Building,6,2019
2019-02-07,2019-02-07,From Vehicle,75,2019
2019-02-07,2019-02-07,Other,27,2019
2019-02-07,2019-02-07,Pickpocket,3,2019
2019-02-07,2019-02-07,Purse Snatch,1,2019
2019-02-07,2019-02-07,Shoplifting,8,2019
2019-02-08,2019-02-08,Bicycle,2,2019
2019-02-08,2019-02-08,From Building,11,2019
2019-02-08,2019-02-08,From Vehicle,85,2019
2019-02-08,2019-02-08,Other,20,2019
2019-02-08,2019-02-08,Pickpocket,1,2019
2019-02-08,2019-02-08,Shoplifting,6,2019
2019-02-09,2019-02-09,Bicycle,3,2019
2019-02-09,2019-02-09,From Building,6,2019
2019-02-09,2019-02-09,From Vehicle,87,2019
2019-02-09,2019-02-09,Other,26,2019
2019-02-09,2019-02-09,Pickpocket,5,2019
2019-02-09,2019-02-09,Shoplifting,4,2019
2019-02-10,2019-02-10,Bicycle,1,2019
2019-02-10,2019-02-10,From Building,7,2019
2019-02-10,2019-02-10,From Vehicle,88,2019
2019-02-10,2019-02-10,Other,31,2019
2019-02-10,2019-02-10,Shoplifting,11,2019
2019-02-11,2019-02-11,Bicycle,1,2019
2019-02-11,2019-02-11,From Building,7,2019
2019-02-11,2019-02-11,From Vehicle,68,2019
2019-02-11,2019-02-11,Other,28,2019
2019-02-11,2019-02-11,Pickpocket,2,2019
2019-02-11,2019-02-11,Shoplifting,3,2019
2019-02-12,2019-02-12,From Building,9,2019
2019-02-12,2019-02-12,From Vehicle,75,2019
2019-02-12,2019-02-12,Other,25,2019
2019-02-12,2019-02-12,Shoplifting,9,2019
2019-02-13,2019-02-13,Bicycle,2,2019
2019-02-13,2019-02-13,From Building,8,2019
2019-02-13,2019-02-13,From Vehicle,87,2019
2019-02-13,2019-02-13,Other,21,2019
2019-02-13,2019-02-13,Pickpocket,1,2019
2019-02-13,2019-02-13,Shoplifting,8,2019
2019-02-14,2019-02-14,Bicycle,1,2019
2019-02-14,2019-02-14,From Building,10,2019
2019-02-14,2019-02-14,From Vehicle,56,2019
2019-02-14,2019-02-14,Other,28,2019
2019-02-14,2019-02-14,Pickpocket,1,2019
2019-02-14,2019-02-14,Shoplifting,11,2019
2019-02-15,2019-02-15,From Building,8,2019
2019-02-15,2019-02-15,From Vehicle,65,2019
2019-02-15,2019-02-15,Other,44,2019
2019-02-15,2019-02-15,Pickpocket,3,2019
2019-02-15,2019-02-15,Purse Snatch,1,2019
2019-02-15,2019-02-15,Shoplifting,11,2019
2019-02-16,2019-02-16,Auto Parts,1,2019
2019-02-16,2019-02-16,From Building,14,2019
2019-02-16,2019-02-16,From Vehicle,70,2019
2019-02-16,2019-02-16,Other,35,2019
2019-02-16,2019-02-16,Pickpocket,3,2019
2019-02-16,2019-02-16,Purse Snatch,1,2019
2019-02-16,2019-02-16,Shoplifting,9,2019
2019-02-17,2019-02-17,Bicycle,4,2019
2019-02-17,2019-02-17,From Building,7,2019
2019-02-17,2019-02-17,From Vehicle,64,2019
2019-02-17,2019-02-17,Other,24,2019
2019-02-17,2019-02-17,Pickpocket,4,2019
2019-02-17,2019-02-17,Shoplifting,11,2019
2019-02-18,2019-02-18,Bicycle,2,2019
2019-02-18,2019-02-18,From Building,8,2019
2019-02-18,2019-02-18,From Vehicle,54,2019
2019-02-18,2019-02-18,Other,31,2019
2019-02-18,2019-02-18,Pickpocket,3,2019
2019-02-18,2019-02-18,Shoplifting,6,2019
2019-02-19,2019-02-19,From Building,5,2019
2019-02-19,2019-02-19,From Vehicle,75,2019
2019-02-19,2019-02-19,Other,32,2019
2019-02-19,2019-02-19,Pickpocket,5,2019
2019-02-19,2019-02-19,Shoplifting,11,2019
2019-02-20,2019-02-20,Auto Parts,1,2019
2019-02-20,2019-02-20,Bicycle,2,2019
2019-02-20,2019-02-20,From Building,13,2019
2019-02-20,2019-02-20,From Vehicle,72,2019
2019-02-20,2019-02-20,Other,25,2019
2019-02-20,2019-02-20,Pickpocket,2,2019
2019-02-20,2019-02-20,Purse Snatch,1,2019
2019-02-20,2019-02-20,Shoplifting,6,2019
2019-02-21,2019-02-21,Bicycle,1,2019
2019-02-21,2019-02-21,From Building,5,2019
2019-02-21,2019-02-21,From Vehicle,92,2019
2019-02-21,2019-02-21,Other,20,2019
2019-02-21,2019-02-21,Pickpocket,1,2019
2019-02-21,2019-02-21,Shoplifting,7,2019
2019-02-22,2019-02-22,Auto Parts,1,2019
2019-02-22,2019-02-22,Bicycle,1,2019
2019-02-22,2019-02-22,From Building,9,2019
2019-02-22,2019-02-22,From Vehicle,82,2019
2019-02-22,2019-02-22,Other,41,2019
2019-02-22,2019-02-22,Pickpocket,2,2019
2019-02-22,2019-02-22,Shoplifting,9,2019
2019-02-23,2019-02-23,Bicycle,1,2019
2019-02-23,2019-02-23,From Building,3,2019
2019-02-23,2019-02-23,From Vehicle,57,2019
2019-02-23,2019-02-23,Other,33,2019
2019-02-23,2019-02-23,Pickpocket,3,2019
2019-02-23,2019-02-23,Shoplifting,11,2019
2019-02-24,2019-02-24,Bicycle,2,2019
2019-02-24,2019-02-24,From Building,3,2019
2019-02-24,2019-02-24,From Vehicle,64,2019
2019-02-24,2019-02-24,Other,29,2019
2019-02-24,2019-02-24,Shoplifting,5,2019
2019-02-25,2019-02-25,From Building,11,2019
2019-02-25,2019-02-25,From Vehicle,63,2019
2019-02-25,2019-02-25,Other,19,2019
2019-02-25,2019-02-25,Pickpocket,1,2019
2019-02-25,2019-02-25,Shoplifting,5,2019
2019-02-26,2019-02-26,Bicycle,1,2019
2019-02-26,2019-02-26,From Building,9,2019
2019-02-26,2019-02-26,From Vehicle,59,2019
2019-02-26,2019-02-26,Other,18,2019
2019-02-26,2019-02-26,Pickpocket,1,2019
2019-02-26,2019-02-26,Purse Snatch,1,2019
2019-02-26,2019-02-26,Shoplifting,4,2019
2019-02-27,2019-02-27,Auto Parts,1,2019
2019-02-27,2019-02-27,Bicycle,1,2019
2019-02-27,2019-02-27,From Building,6,2019
2019-02-27,2019-02-27,From Vehicle,74,2019
2019-02-27,2019-02-27,Other,25,2019
2019-02-27,2019-02-27,Pickpocket,2,2019
2019-02-27,2019-02-27,Purse Snatch,1,2019
2019-02-27,2019-02-27,Shoplifting,11,2019
2019-02-28,2019-02-28,Auto Parts,1,2019
2019-02-28,2019-02-28,Bicycle,2,2019
2019-02-28,2019-02-28,From Building,3,2019
2019-02-28,2019-02-28,From Vehicle,79,2019
2019-02-28,2019-02-28,Other,33,2019
2019-02-28,2019-02-28,Pickpocket,1,2019
2019-02-28,2019-02-28,Shoplifting,11,2019
2019-03-01,2019-03-01,Bicycle,1,2019
2019-03-01,2019-03-01,From Building,11,2019
2019-03-01,2019-03-01,From Vehicle,74,2019
2019-03-01,2019-03-01,Other,39,2019
2019-03-01,2019-03-01,Pickpocket,1,2019
2019-03-01,2019-03-01,Shoplifting,6,2019
2019-03-02,2019-03-02,Bicycle,1,2019
2019-03-02,2019-03-02,From Building,6,2019
2019-03-02,2019-03-02,From Vehicle,67,2019
2019-03-02,2019-03-02,Other,34,2019
2019-03-02,2019-03-02,Pickpocket,4,2019
2019-03-02,2019-03-02,Shoplifting,7,2019
2019-03-03,2019-03-03,From Building,6,2019
2019-03-03,2019-03-03,From Vehicle,69,2019
2019-03-03,2019-03-03,Other,19,2019
2019-03-03,2019-03-03,Pickpocket,1,2019
2019-03-03,2019-03-03,Shoplifting,6,2019
2019-03-04,2019-03-04,Bicycle,3,2019
2019-03-04,2019-03-04,From Building,8,2019
2019-03-04,2019-03-04,From Vehicle,69,2019
2019-03-04,2019-03-04,Other,27,2019
2019-03-04,2019-03-04,Pickpocket,2,2019
2019-03-04,2019-03-04,Shoplifting,6,2019
2019-03-05,2019-03-05,Bicycle,3,2019
2019-03-05,2019-03-05,From Building,6,2019
2019-03-05,2019-03-05,From Vehicle,59,2019
2019-03-05,2019-03-05,Other,35,2019
2019-03-05,2019-03-05,Pickpocket,2,2019
2019-03-05,2019-03-05,Shoplifting,8,2019
2019-03-06,2019-03-06,From Building,8,2019
2019-03-06,2019-03-06,From Vehicle,63,2019
2019-03-06,2019-03-06,Other,34,2019
2019-03-06,2019-03-06,Pickpocket,2,2019
2019-03-06,2019-03-06,Shoplifting,12,2019
2019-03-07,2019-03-07,From Building,7,2019
2019-03-07,2019-03-07,From Vehicle,66,2019
2019-03-07,2019-03-07,Other,34,2019
2019-03-07,2019-03-07,Shoplifting,6,2019
2019-03-08,2019-03-08,Bicycle,2,2019
2019-03-08,2019-03-08,From Building,3,2019
2019-03-08,2019-03-08,From Vehicle,74,2019
2019-03-08,2019-03-08,Other,43,2019
2019-03-08,2019-03-08,Pickpocket,3,2019
2019-03-08,2019-03-08,Shoplifting,11,2019
2019-03-09,2019-03-09,Bicycle,2,2019
2019-03-09,2019-03-09,From Building,6,2019
2019-03-09,2019-03-09,From Vehicle,64,2019
2019-03-09,2019-03-09,Other,19,2019
2019-03-09,2019-03-09,Pickpocket,1,2019
2019-03-09,2019-03-09,Shoplifting,7,2019
2019-03-10,2019-03-10,Bicycle,1,2019
2019-03-10,2019-03-10,From Building,2,2019
2019-03-10,2019-03-10,From Vehicle,71,2019
2019-03-10,2019-03-10,Other,18,2019
2019-03-10,2019-03-10,Shoplifting,8,2019
2019-03-11,2019-03-11,From Building,6,2019
2019-03-11,2019-03-11,From Vehicle,61,2019
2019-03-11,2019-03-11,Other,21,2019
2019-03-11,2019-03-11,Shoplifting,13,2019
2019-03-12,2019-03-12,From Building,4,2019
2019-03-12,2019-03-12,From Vehicle,60,2019
2019-03-12,2019-03-12,Other,30,2019
2019-03-12,2019-03-12,Pickpocket,3,2019
2019-03-12,2019-03-12,Purse Snatch,2,2019
2019-03-12,2019-03-12,Shoplifting,6,2019
2019-03-13,2019-03-13,Auto Parts,1,2019
2019-03-13,2019-03-13,Bicycle,2,2019
2019-03-13,2019-03-13,From Building,4,2019
2019-03-13,2019-03-13,From Vehicle,50,2019
2019-03-13,2019-03-13,Other,33,2019
2019-03-13,2019-03-13,Pickpocket,2,2019
2019-03-13,2019-03-13,Shoplifting,4,2019
2019-03-14,2019-03-14,From Building,8,2019
2019-03-14,2019-03-14,From Vehicle,49,2019
2019-03-14,2019-03-14,Other,34,2019
2019-03-14,2019-03-14,Pickpocket,5,2019
2019-03-14,2019-03-14,Shoplifting,7,2019
2019-03-15,2019-03-15,From Building,5,2019
2019-03-15,2019-03-15,From Vehicle,63,2019
2019-03-15,2019-03-15,Other,22,2019
2019-03-15,2019-03-15,Pickpocket,3,2019
2019-03-15,2019-03-15,Shoplifting,12,2019
2019-03-16,2019-03-16,Auto Parts,1,2019
2019-03-16,2019-03-16,Bicycle,1,2019
2019-03-16,2019-03-16,From Building,8,2019
2019-03-16,2019-03-16,From Vehicle,68,2019
2019-03-16,2019-03-16,Other,30,2019
2019-03-16,2019-03-16,Purse Snatch,1,2019
2019-03-16,2019-03-16,Shoplifting,9,2019
2019-03-17,2019-03-17,From Building,4,2019
2019-03-17,2019-03-17,From Vehicle,54,2019
2019-03-17,2019-03-17,Other,24,2019
2019-03-17,2019-03-17,Shoplifting,3,2019
2019-03-18,2019-03-18,Auto Parts,1,2019
2019-03-18,2019-03-18,Bicycle,1,2019
2019-03-18,2019-03-18,From Building,4,2019
2019-03-18,2019-03-18,From Vehicle,69,2019
2019-03-18,2019-03-18,Other,25,2019
2019-03-18,2019-03-18,Pickpocket,4,2019
2019-03-18,2019-03-18,Purse Snatch,1,2019
2019-03-18,2019-03-18,Shoplifting,6,2019
2019-03-19,2019-03-19,Auto Parts,1,2019
2019-03-19,2019-03-19,From Building,6,2019
2019-03-19,2019-03-19,From Vehicle,65,2019
2019-03-19,2019-03-19,Other,22,2019
2019-03-19,2019-03-19,Pickpocket,2,2019
2019-03-19,2019-03-19,Shoplifting,12,2019
2019-03-20,2019-03-20,Auto Parts,1,2019
2019-03-20,2019-03-20,From Building,5,2019
2019-03-20,2019-03-20,From Vehicle,79,2019
2019-03-20,2019-03-20,Other,20,2019
2019-03-20,2019-03-20,Shoplifting,9,2019
2019-03-21,2019-03-21,From Building,15,2019
2019-03-21,2019-03-21,From Vehicle,83,2019
2019-03-21,2019-03-21,Other,34,2019
2019-03-21,2019-03-21,Pickpocket,3,2019
2019-03-21,2019-03-21,Purse Snatch,1,2019
2019-03-21,2019-03-21,Shoplifting,11,2019
2019-03-22,2019-03-22,Bicycle,1,2019
2019-03-22,2019-03-22,From Building,5,2019
2019-03-22,2019-03-22,From Vehicle,82,2019
2019-03-22,2019-03-22,Other,27,2019
2019-03-22,2019-03-22,Shoplifting,9,2019
2019-03-23,2019-03-23,Auto Parts,1,2019
2019-03-23,2019-03-23,Bicycle,1,2019
2019-03-23,2019-03-23,From Building,4,2019
2019-03-23,2019-03-23,From Vehicle,69,2019
2019-03-23,2019-03-23,Other,23,2019
2019-03-23,2019-03-23,Purse Snatch,1,2019
2019-03-23,2019-03-23,Shoplifting,9,2019
2019-03-24,2019-03-24,Auto Parts,1,2019
2019-03-24,2019-03-24,Bicycle,2,2019
2019-03-24,2019-03-24,From Building,4,2019
2019-03-24,2019-03-24,From Vehicle,69,2019
2019-03-24,2019-03-24,Other,23,2019
2019-03-24,2019-03-24,Shoplifting,4,2019
2019-03-25,2019-03-25,Auto Parts,1,2019
2019-03-25,2019-03-25,From Building,17,2019
2019-03-25,2019-03-25,From Vehicle,68,2019
2019-03-25,2019-03-25,Other,33,2019
2019-03-25,2019-03-25,Shoplifting,7,2019
2019-03-26,2019-03-26,From Building,8,2019
2019-03-26,2019-03-26,From Vehicle,59,2019
2019-03-26,2019-03-26,Other,29,2019
2019-03-26,2019-03-26,Pickpocket,2,2019
2019-03-26,2019-03-26,Shoplifting,13,2019
2019-03-27,2019-03-27,Bicycle,3,2019
2019-03-27,2019-03-27,From Building,5,2019
2019-03-27,2019-03-27,From Vehicle,59,2019
2019-03-27,2019-03-27,Other,27,2019
2019-03-27,2019-03-27,Shoplifting,14,2019
2019-03-28,2019-03-28,Auto Parts,1,2019
2019-03-28,2019-03-28,Bicycle,4,2019
2019-03-28,2019-03-28,From Building,7,2019
2019-03-28,2019-03-28,From Vehicle,58,2019
2019-03-28,2019-03-28,Other,29,2019
2019-03-28,2019-03-28,Pickpocket,2,2019
2019-03-28,2019-03-28,Shoplifting,9,2019
2019-03-29,2019-03-29,Auto Parts,2,2019
2019-03-29,2019-03-29,Bicycle,1,2019
2019-03-29,2019-03-29,From Building,8,2019
2019-03-29,2019-03-29,From Vehicle,81,2019
2019-03-29,2019-03-29,Other,33,2019
2019-03-29,2019-03-29,Pickpocket,2,2019
2019-03-29,2019-03-29,Purse Snatch,2,2019
2019-03-29,2019-03-29,Shoplifting,9,2019
2019-03-30,2019-03-30,Auto Parts,1,2019
2019-03-30,2019-03-30,Bicycle,3,2019
2019-03-30,2019-03-30,From Building,8,2019
2019-03-30,2019-03-30,From Vehicle,90,2019
2019-03-30,2019-03-30,Other,41,2019
2019-03-30,2019-03-30,Pickpocket,3,2019
2019-03-30,2019-03-30,Shoplifting,6,2019
2019-03-31,2019-03-31,Auto Parts,3,2019
2019-03-31,2019-03-31,Bicycle,1,2019
2019-03-31,2019-03-31,From Building,5,2019
2019-03-31,2019-03-31,From Vehicle,89,2019
2019-03-31,2019-03-31,Other,30,2019
2019-03-31,2019-03-31,Pickpocket,1,2019
2019-03-31,2019-03-31,Shoplifting,6,2019
2019-04-01,2019-04-01,Bicycle,1,2019
2019-04-01,2019-04-01,From Building,13,2019
2019-04-01,2019-04-01,From Vehicle,72,2019
2019-04-01,2019-04-01,Other,30,2019
2019-04-01,2019-04-01,Pickpocket,1,2019
2019-04-01,2019-04-01,Shoplifting,2,2019
2019-04-02,2019-04-02,Auto Parts,1,2019
2019-04-02,2019-04-02,Bicycle,1,2019
2019-04-02,2019-04-02,From Building,8,2019
2019-04-02,2019-04-02,From Vehicle,39,2019
2019-04-02,2019-04-02,Other,33,2019
2019-04-02,2019-04-02,Pickpocket,2,2019
2019-04-02,2019-04-02,Shoplifting,5,2019
2019-04-03,2019-04-03,Bicycle,1,2019
2019-04-03,2019-04-03,From Building,13,2019
2019-04-03,2019-04-03,From Vehicle,69,2019
2019-04-03,2019-04-03,Other,25,2019
2019-04-03,2019-04-03,Pickpocket,4,2019
2019-04-03,2019-04-03,Shoplifting,1,2019
2019-04-04,2019-04-04,Bicycle,1,2019
2019-04-04,2019-04-04,From Building,10,2019
2019-04-04,2019-04-04,From Vehicle,59,2019
2019-04-04,2019-04-04,Other,32,2019
2019-04-04,2019-04-04,Pickpocket,3,2019
2019-04-04,2019-04-04,Shoplifting,3,2019
2019-04-05,2019-04-05,Auto Parts,1,2019
2019-04-05,2019-04-05,Bicycle,1,2019
2019-04-05,2019-04-05,From Building,8,2019
2019-04-05,2019-04-05,From Vehicle,79,2019
2019-04-05,2019-04-05,Other,37,2019
2019-04-05,2019-04-05,Pickpocket,1,2019
2019-04-05,2019-04-05,Shoplifting,6,2019
2019-04-06,2019-04-06,Bicycle,2,2019
2019-04-06,2019-04-06,From Building,4,2019
2019-04-06,2019-04-06,From Vehicle,73,2019
2019-04-06,2019-04-06,Other,36,2019
2019-04-06,2019-04-06,Shoplifting,9,2019
2019-04-07,2019-04-07,Auto Parts,1,2019
2019-04-07,2019-04-07,Bicycle,3,2019
2019-04-07,2019-04-07,From Building,10,2019
